"platform_name","news_url","news_title","news_content","news_posttime"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615011.html","天津市公积金放宽在京冀购房提取政策，支持购买配售型保障性住房","每经AI快讯，日前，天津市住房公积金管理中心发布，自2024年10月29日起施行，有效期5年。明确，职工及配偶购买我市配售型保障性住房的，购房人及配偶、双方父母可以按照我市现行购买保障性住房提取政策提取住房公积金。职工符合个人住房公积金贷款条件，申请个人住房公积金贷款购买我市配售型保障性住房的，应支付不低于住房交易价格15%的首付款，最长贷款期限30年，贷款额度计算等其他政策按照我市首套住房贷款政策执行；采用住房抵押担保方式的，抵押值最高不得超过抵押物价值的85%。职工及配偶在北京市、河北省购买自有住房，且在我市无购房提取住房公积金及偿还住房贷款本息提取住房公积金记录的，提取住房公积金不再要求职工或配偶具有所购住房城市户籍或在所购住房城市缴存住房公积金。","2024-10-29 09:23:54"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615009.html","央行今日进行3828亿元7天期逆回购操作，中标利率为1.50%，与此前持平","每经AI快讯，10月29日，央行今日进行3828亿元7天期逆回购操作，中标利率为1.50%，与此前持平。","2024-10-29 09:21:56"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615008.html","香港恒生指数开盘涨0.63%，恒生科技指数涨1.63%","每经AI快讯，10月29日，香港恒生指数开盘涨0.63%。恒生科技指数涨1.63%。","2024-10-29 09:21:48"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615007.html","铖昌科技：计提减值准备约2046万元","每经AI快讯，铖昌科技10月28日晚间发布公告称，2024年前三季度计提的信用减值损失共计16,370,027.12元、资产减值损失4,092,559.61元。本次计提资产减值准备共计约2046万元，将导致公司2024年前三季度利润总额减少约2046万元。本次计提信用减值损失和资产减值损失数据未经审计，敬请广大投资者注意投资风险。","2024-10-29 09:19:28"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615006.html","山西证券给予天融信增持评级，三季度收入实现正增长，归母净利润实现扭亏","每经AI快讯，山西证券10月29日发布研报称，给予天融信增持评级。评级理由主要包括：1）三季度收入实现正增长，归母净利润实现扭亏；2）AI和信创将成为安全行业增长的重要驱动力；3）宏观经济持续下行风险，市场竞争加剧风险，因下游行业采购特点造成的季节性收入和盈利波动的风险，商誉减值风险。风险提示：宏观经济持续下行风险，市场竞争加剧风险，因下游行业采购特点造成的季节性收入和盈利波动的风险，商誉减值风险。","2024-10-29 09:18:30"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615005.html","人民币兑美元中间价报7.1283，上调24点","每经AI快讯，10月29日，人民币兑美元中间价报7.1283，上调24点。","2024-10-29 09:16:41"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615004.html","阳光电源投资1000万在珠海横琴成立新公司 含多项AI业务","天眼查App显示，近日，阳光电源有限公司成立，法定代表人为王航，注册资本1000万人民币，经营范围含新兴能源技术研发、人工智能应用软件开发、物联网技术研发、在线能源监测技术研发、在线能源计量技术研发、人工智能基础资源与技术平台、人工智能理论与算法软件开发、人工智能行业应用系统集成服务、人工智能基础软件开发、物联网应用服务、智能输配电及控制设备销售等。股东信息显示，该公司由阳光电源全资持股。","2024-10-29 09:16:34"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615002.html","文昌发射场将承担载人登月任务","每经AI快讯，神舟十九号载人飞行任务新闻发布会今天上午在酒泉卫星发射中心召开。发言人介绍，文昌发射场主要执行载人航天工程空间站货运飞船发射任务，后续还将承担载人登月飞船、着陆器等发射任务。登月任务发射工位等设施正在进行建设施工。","2024-10-29 09:15:46"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615001.html","MSCI中国A50互联互通指数期货开盘涨0.08%","每经AI快讯，10月29日，MSCI中国A50互联互通指数期货开盘涨0.08%。","2024-10-29 09:15:21"
"每日经济新闻","https://m.nbd.com.cn/articles/2024-10-29/3615000.html","锚定2030年前实现中国人登月目标 工程全线正全面推进","每经AI快讯，神舟十九号载人飞行任务新闻发布会今天上午在酒泉卫星发射中心召开。发言人介绍，锚定2030年前实现中国人登陆月球的目标，工程全线正在全面推进各项研制建设工作。目前，长征十号运载火箭、梦舟载人飞船、揽月月面着陆器、登月航天服、载人月球车等正按计划开展初样产品生产和相关地面试验，先后完成了飞船综合空投、着陆器两舱分离、火箭芯一级三机动力系统试车、YF-75E氢氧发动机高空模拟试车等大型试验，保障上述生产试验的一批地面设施设备已建成并投入使用。载人前的飞行试验和首次载人登月任务的科学研究目标和配套载荷总体方案基本确定，发射场、测控通信、着陆场等地面系统正紧张有序地开展研制建设。","2024-10-29 09:15:14"
